"","Generation","strategy","prob","freq_media","freq_sd","raio","divided"
"170",56,"O",0,0.766545,0.0261597283794937,"basico",FALSE
"171",56,"Y",0,0.044148,0.0172703487357536,"basico",FALSE
"172",57,"B",0,0.193253,0.0248432762482623,"basico",FALSE
"173",57,"O",0,0.762115,0.0265864869412788,"basico",FALSE
"174",57,"Y",0,0.044632,0.017715540629571,"basico",FALSE
"175",58,"B",0,0.197108,0.0250516866909317,"basico",FALSE
"176",58,"O",0,0.757665,0.0270039405093091,"basico",FALSE
"177",58,"Y",0,0.045227,0.0186857686624086,"basico",FALSE
"178",59,"B",0,0.200788,0.0255466231732406,"basico",FALSE
"179",59,"O",0,0.753344,0.0274522848490675,"basico",FALSE
"180",59,"Y",0,0.045868,0.0193855818545223,"basico",FALSE
"181",60,"B",0,0.204561,0.0259710246274963,"basico",FALSE
"182",60,"O",0,0.749026,0.0280459277729667,"basico",FALSE
"183",60,"Y",0,0.046413,0.0198434359551226,"basico",FALSE
"184",61,"B",0,0.207853,0.0263007141854868,"basico",FALSE
"185",61,"O",0,0.745046,0.0282130295137448,"basico",FALSE
"186",61,"Y",0,0.047101,0.0202001474892105,"basico",FALSE
"187",62,"B",0,0.211677,0.0266976973054633,"basico",FALSE
"188",62,"O",0,0.740535,0.0287343365324414,"basico",FALSE
"189",62,"Y",0,0.047788,0.0202620323648827,"basico",FALSE
"190",63,"B",0,0.215064,0.0269693373214018,"basico",FALSE
"191",63,"O",0,0.736023,0.029429772100011,"basico",FALSE
"192",63,"Y",0,0.048913,0.0206869824632386,"basico",FALSE
"193",64,"B",0,0.218149,0.0267502496731481,"basico",FALSE
"194",64,"O",0,0.731851,0.0295751823854277,"basico",FALSE
"195",64,"Y",0,0.05,0.020973648690534,"basico",FALSE
"196",65,"B",0,0.220895,0.0269676288362641,"basico",FALSE
"197",65,"O",0,0.72783,0.0301206244988715,"basico",FALSE
"198",65,"Y",0,0.051275,0.0216044812738263,"basico",FALSE
"199",66,"B",0,0.223482,0.0270056648752356,"basico",FALSE
"200",66,"O",0,0.724091,0.03063793810809,"basico",FALSE
"201",66,"Y",0,0.052427,0.0218854218117629,"basico",FALSE
"202",67,"B",0,0.226019,0.0272900607022284,"basico",FALSE
"203",67,"O",0,0.720291,0.0311023695709715,"basico",FALSE
"204",67,"Y",0,0.05369,0.0225362760316281,"basico",FALSE
"205",68,"B",0,0.227958,0.0270670741124729,"basico",FALSE
"206",68,"O",0,0.716902,0.0316558832676415,"basico",FALSE
"207",68,"Y",0,0.05514,0.0232496768740444,"basico",FALSE
"208",69,"B",0,0.230001,0.0275800048161085,"basico",FALSE
"209",69,"O",0,0.713288,0.0325411543008591,"basico",FALSE
"210",69,"Y",0,0.056711,0.0242799160258478,"basico",FALSE
"211",70,"B",0,0.231836,0.0275228665995856,"basico",FALSE
"212",70,"O",0,0.709397,0.0338590317539225,"basico",FALSE
"213",70,"Y",0,0.058767,0.0257026511032884,"basico",FALSE
"214",71,"B",0,0.233807,0.0275060627109477,"basico",FALSE
"215",71,"O",0,0.705513,0.0350024779930874,"basico",FALSE
"216",71,"Y",0,0.06068,0.0268620907449871,"basico",FALSE
"217",72,"B",0,0.23507,0.027513715587949,"basico",FALSE
"218",72,"O",0,0.702306,0.0355937510688536,"basico",FALSE
"219",72,"Y",0,0.062624,0.0281274089697849,"basico",FALSE
"220",73,"B",0,0.236551,0.0273294841894355,"basico",FALSE
"221",73,"O",0,0.698483,0.0365292218848849,"basico",FALSE
"222",73,"Y",0,0.064966,0.0297314010107261,"basico",FALSE
"223",74,"B",0,0.23803,0.026869755067245,"basico",FALSE
"224",74,"O",0,0.694977,0.0372550446858604,"basico",FALSE
"225",74,"Y",0,0.066993,0.0307947793522463,"basico",FALSE
"226",75,"B",0,0.239119,0.0269183640331693,"basico",FALSE
"227",75,"O",0,0.691933,0.0379687778565388,"basico",FALSE
"228",75,"Y",0,0.068948,0.0323818707229084,"basico",FALSE
"229",76,"B",0,0.240093,0.027027383252075,"basico",FALSE
"230",76,"O",0,0.688528,0.0386692582203633,"basico",FALSE
"231",76,"Y",0,0.071379,0.0340512842428279,"basico",FALSE
"232",77,"B",0,0.240875,0.0272080587252373,"basico",FALSE
"233",77,"O",0,0.685206,0.03946255819115,"basico",FALSE
"234",77,"Y",0,0.073919,0.0360293558621076,"basico",FALSE
"235",78,"B",0,0.241785,0.027944405034412,"basico",FALSE
"236",78,"O",0,0.68175,0.0400806925987054,"basico",FALSE
"237",78,"Y",0,0.076465,0.037816169848627,"basico",FALSE
"238",79,"B",0,0.242064,0.0285961024397989,"basico",FALSE
"239",79,"O",0,0.678609,0.0409783241420992,"basico",FALSE
"240",79,"Y",0,0.079327,0.0400051432425705,"basico",FALSE
"241",80,"B",0,0.243238,0.0291348615506537,"basico",FALSE
"242",80,"O",0,0.674589,0.0418748807204693,"basico",FALSE
"243",80,"Y",0,0.082173,0.0419521874437214,"basico",FALSE
"244",81,"B",0,0.243338,0.0294528411964865,"basico",FALSE
"245",81,"O",0,0.671758,0.042343284871835,"basico",FALSE
