"","Generation","O","Y","B"
"480",479,0.6803,0.1125,0.2072
"481",480,0.675,0.1132,0.2118
"482",481,0.6714,0.1158,0.2128
"483",482,0.6666,0.1222,0.2112
"484",483,0.6659,0.1266,0.2075
"485",484,0.6653,0.1239,0.2108
"486",485,0.6624,0.1254,0.2122
"487",486,0.6609,0.1288,0.2103
"488",487,0.6553,0.1329,0.2118
"489",488,0.6554,0.1325,0.2121
"490",489,0.6589,0.1287,0.2124
"491",490,0.6624,0.1273,0.2103
"492",491,0.659,0.1295,0.2115
"493",492,0.6572,0.1312,0.2116
"494",493,0.6547,0.1359,0.2094
"495",494,0.6546,0.1421,0.2033
"496",495,0.6526,0.1454,0.202
"497",496,0.6422,0.1536,0.2042
"498",497,0.6393,0.1642,0.1965
"499",498,0.6379,0.1679,0.1942
"500",499,0.6399,0.1665,0.1936
"501",500,0.6392,0.1638,0.197
